G1,800,19176,11036,11000,11061,10990,11070,11172,11149,11249,11255,11245,11289,64,11461,50,11461
G2,800,19176,11036,10989,10997,11034,11082,11116,11167,11192,11226,11344,11248,74,11449,50,11449
G3,800,19176,11074,10996,11054,11028,11093,11189,11175,11166,11278,11227,11257,66,11473,50,11473
G4,800,19176,11128,11040,10974,11082,11084,11206,11229,11263,11246,11313,11326,72,11453,50,11453
G5,800,19176,11009,11040,11084,11031,11197,11181,11238,11262,11288,11234,11275,75,11476,50,11476
G6,800,19176,1520,1541,1555,1568,1579,1632,1663,1758,1786,1770,1778,80,2003,50,2003
G7,800,19176,1417,1323,1371,1362,1379,1403,1560,1549,1548,1674,1652,70,1829,50,1829
G8,800,19176,1340,1405,1405,1394,1363,1391,1473,1577,1557,1611,1629,101,1858,50,1858
G9,800,19176,1396,1398,1427,1442,1454,1437,1523,1569,1689,1669,1686,86,1861,50,1861
G10,800,19176,1401,1376,1380,1408,1365,1411,1578,1474,1535,1630,1572,109,1806,50,1806
G11,800,1600,410,412,404,420,424,420,442,482,482,488,478,6,490,50,490
G12,800,1600,402,394,400,412,416,424,436,452,464,468,472,11,484,50,484
G13,800,1600,400,396,436,420,406,430,460,482,510,516,506,8,508,50,508
G14,800,4694,2876,2924,2917,2942,2934,2945,2931,2960,2933,2956,2948,20,2984,50,2984
G15,800,4661,2854,2901,2902,2911,2910,2916,2919,2920,2918,2927,2924,20,2964,50,2964
G16,800,4672,2856,2895,2904,2934,2933,2923,2913,2938,2907,2921,2912,18,2978,50,2978
G17,800,4667,2851,2897,2918,2892,2904,2917,2914,2932,2928,2923,2919,26,2973,50,2973
G18,800,4694,732,713,745,682,692,726,755,810,804,837,863,49,901,50,901
G19,800,4661,627,628,577,592,647,637,674,713,692,712,787,44,796,50,796
G20,800,4672,666,669,641,656,655,673,761,755,753,773,816,50,863,50,863
G21,800,4667,635,627,635,641,658,675,696,714,769,781,786,41,836,50,836
G22,2000,19990,12372,12334,12394,12588,12529,12647,12719,12725,12754,12723,12781,97,13001,50,13001
G23,2000,19990,12314,12328,12472,12515,12614,12636,12734,12707,12773,12821,12855,116,12990,50,12990
G24,2000,19990,12402,12415,12468,12463,12579,12685,12658,12751,12802,12785,12804,94,13019,50,13019
G25,2000,19990,12359,12374,12390,12614,12641,12670,12799,12753,12842,12784,12844,115,13014,50,13014
G26,2000,19990,12421,12340,12399,12458,12689,12663,12837,12824,12732,12810,12790,112,13005,50,13005
G27,2000,19990,2295,2273,2318,2312,2281,2272,2586,2671,2667,2683,2832,177,2983,50,2983
G28,2000,19990,2311,2291,2338,2276,2256,2476,2587,2591,2632,2687,2689,174,2932,50,2932
G29,2000,19990,2358,2316,2373,2453,2446,2497,2547,2666,2666,2786,2784,146,3022,50,3022
G30,2000,19990,2452,2375,2382,2421,2371,2520,2627,2630,2750,2753,2715,153,3017,50,3017
G31,2000,19990,2280,2286,2375,2310,2337,2363,2448,2587,2721,2713,2692,125,2922,50,2922
G32,2000,4000,1022,996,978,1030,1052,976,1098,1168,1162,1196,1182,17,1194,50,1194
G33,2000,4000,996,994,1002,954,990,990,1106,1160,1164,1208,1180,21,1192,50,1192
G34,2000,4000,966,1006,1000,978,952,1012,1100,1148,1146,1180,1182,22,1184,50,1184
G35,2000,11778,7193,7309,7318,7339,7353,7390,7369,7377,7384,7393,7340,48,7479,50,7479
G36,2000,11766,7163,7301,7331,7361,7334,7347,7364,7397,7357,7349,7374,53,7471,50,7471
G37,2000,11785,7193,7319,7350,7372,7365,7352,7394,7370,7366,7362,7404,63,7473,50,7473
G38,2000,11779,7180,7293,7313,7375,7333,7359,7398,7383,7400,7389,7383,37,7482,50,7482
G39,2000,11778,1667,1690,1638,1651,1678,1700,1833,1952,1987,2019,1995,105,2140,50,2140
G40,2000,11766,1596,1662,1652,1648,1653,1786,1887,1929,1935,1964,2016,112,2108,50,2108
G41,2000,11785,1620,1629,1625,1607,1733,1753,1897,1877,1996,1993,1995,137,2123,50,2123
G42,2000,11779,1751,1804,1666,1721,1713,1829,1907,2067,2063,2113,2047,157,2191,50,2191
G43,1000,9990,6150,6174,6251,6268,6265,6279,6312,6326,6413,6373,6401,50,6508,50,6508
G44,1000,9990,6189,6198,6194,6229,6308,6322,6307,6359,6356,6390,6352,63,6511,50,6511
G45,1000,9990,6172,6155,6219,6249,6295,6331,6365,6364,6352,6400,6392,44,6499,50,6499
G46,1000,9990,6242,6176,6221,6210,6306,6316,6352,6403,6376,6356,6403,43,6506,50,6506
G47,1000,9990,6194,6129,6162,6245,6294,6302,6352,6364,6405,6418,6393,47,6515,50,6515
G48,3000,6000,4972,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,0,6000,50,6000
G49,3000,6000,4910,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,0,6000,50,6000
G50,3000,6000,4850,5824,5804,5840,5866,5856,5880,5880,5880,5880,5880,0,5880,50,5880
G51,1000,5909,3597,3659,3677,3683,3680,3707,3653,3704,3691,3717,3694,35,3753,50,3753
G52,1000,5916,3604,3675,3670,3700,3702,3703,3690,3700,3712,3706,3699,35,3751,50,3751
G53,1000,5914,3602,3678,3664,3656,3703,3696,3701,3693,3705,3712,3723,22,3751,50,3751
G54,1000,5916,3596,3684,3672,3684,3674,3691,3684,3705,3692,3689,3698,32,3753,50,3753
